Epoch,Base,BatchNorm,GreyWorld,GreyEdge,WhitePatch,FC4
1,0.067647062,0.05882353,0.061764706,0.05882353,0.045588236,0.050000001
2,0.098529413,0.10882353,0.100000001,0.073529415,0.086764708,0.092647061
3,0.100000001,0.205882356,0.10882353,0.095588237,0.097058825,0.111764707
4,0.132352948,0.239705876,0.139705881,0.136764705,0.104411766,0.132352948
5,0.163235292,0.267647058,0.176470593,0.161764711,0.123529412,0.163235292
6,0.186764702,0.320588231,0.198529407,0.205882356,0.14852941,0.174999997
7,0.208823532,0.349999994,0.188235298,0.176470593,0.166176468,0.208823532
8,0.223529413,0.394117653,0.232352942,0.223529413,0.17058824,0.25
9,0.233823523,0.397058815,0.216176465,0.229411766,0.22647059,0.242647052
10,0.247058824,0.435294122,0.255882353,0.254411757,0.214705884,0.277941167
11,0.313235283,0.455882341,0.276470602,0.258823544,0.244117647,0.251470596
12,0.294117659,0.455882341,0.319117635,0.26029411,0.252941191,0.279411763
13,0.305882365,0.449999988,0.330882341,0.275000006,0.248529404,0.297058821
14,0.349999994,0.513235271,0.36470589,0.313235283,0.28382352,0.302941173
15,0.345588237,0.520588219,0.357352942,0.326470584,0.302941173,0.326470584
16,0.373529404,0.517647088,0.383823544,0.349999994,0.324999988,0.363235295
17,0.357352942,0.555882335,0.401470602,0.345588237,0.314705878,0.376470596
18,0.383823544,0.566176474,0.433823526,0.383823544,0.358823538,0.376470596
19,0.407352954,0.560294092,0.455882341,0.388235301,0.392647058,0.38529411
20,0.377941191,0.577941179,0.427941173,0.407352954,0.400000006,0.430882365
21,0.419117659,0.583823502,0.473529398,0.407352954,0.429411769,0.448529422
22,0.438235283,0.583823502,0.497058809,0.427941173,0.441176474,0.451470584
23,0.445588231,0.602941155,0.470588237,0.438235283,0.5,0.463235289
24,0.461764693,0.607352912,0.505882382,0.458823532,0.46617648,0.474999994
25,0.482352942,0.607352912,0.52352941,0.480882347,0.48970589,0.5
26,0.494117647,0.617647052,0.494117647,0.479411751,0.501470566,0.491176456
27,0.526470602,0.661764681,0.550000012,0.477941185,0.495588243,0.511764705
28,0.532352924,0.629411757,0.555882335,0.520588219,0.520588219,0.516176462
29,0.535294116,0.654411793,0.538235307,0.502941191,0.561764717,0.520588219
30,0.548529387,0.701470613,0.555882335,0.504411757,0.550000012,0.504411757
31,0.597058833,0.65882355,0.586764693,0.510294139,0.539705873,0.579411745
32,0.54411763,0.694117665,0.585294127,0.53382355,0.574999988,0.548529387
33,0.617647052,0.675000012,0.570588231,0.519117653,0.595588207,0.547058821
34,0.570588231,0.701470613,0.604411781,0.574999988,0.608823538,0.607352912
35,0.572058797,0.70588237,0.623529434,0.582352936,0.600000024,0.585294127
36,0.626470566,0.719117641,0.629411757,0.564705908,0.608823538,0.585294127
37,0.632352948,0.697058797,0.622058809,0.542647064,0.619117618,0.616176486
38,0.607352912,0.714705884,0.652941167,0.550000012,0.597058833,0.610294104
39,0.614705861,0.723529398,0.638235271,0.600000024,0.636764705,0.627941191
40,0.654411793,0.727941155,0.670588255,0.604411781,0.651470602,0.639705896
41,0.633823514,0.741176486,0.666176498,0.597058833,0.622058809,0.623529434
42,0.661764681,0.744117618,0.635294139,0.619117618,0.626470566,0.642647088
43,0.638235271,0.747058809,0.616176486,0.600000024,0.638235271,0.639705896
44,0.654411793,0.748529434,0.655882359,0.644117653,0.670588255,0.655882359
45,0.64852941,0.757352948,0.675000012,0.627941191,0.701470613,0.651470602
46,0.697058797,0.748529434,0.673529387,0.623529434,0.655882359,0.704411745
47,0.686764717,0.780882359,0.652941167,0.649999976,0.702941179,0.657352924
48,0.685294092,0.763235271,0.670588255,0.655882359,0.708823502,0.672058821
49,0.69264704,0.767647088,0.691176474,0.635294139,0.670588255,0.708823502
50,0.708823502,0.769117653,0.70588237,0.683823526,0.68235296,0.677941203
51,0.707352936,0.779411793,0.727941155,0.639705896,0.739705861,0.683823526
52,0.701470613,0.798529387,0.673529387,0.691176474,0.701470613,0.69264704
53,0.683823526,0.764705896,0.708823502,0.666176498,0.713235319,0.675000012
54,0.708823502,0.819117665,0.697058797,0.680882335,0.688235283,0.697058797
55,0.717647076,0.79411763,0.71617645,0.680882335,0.730882347,0.714705884
56,0.742647052,0.791176498,0.722058833,0.691176474,0.75,0.722058833
57,0.710294127,0.770588219,0.720588207,0.694117665,0.717647076,0.732352912
58,0.739705861,0.836764693,0.744117618,0.702941179,0.735294104,0.727941155
59,0.739705861,0.823529422,0.713235319,0.688235283,0.736764729,0.742647052
60,0.741176486,0.816176474,0.717647076,0.683823526,0.723529398,0.707352936
61,0.772058845,0.84117645,0.717647076,0.71617645,0.745588243,0.758823514
62,0.767647088,0.814705908,0.766176462,0.707352936,0.748529434,0.741176486
63,0.751470566,0.842647076,0.713235319,0.708823502,0.766176462,0.763235271
64,0.751470566,0.822058797,0.745588243,0.723529398,0.71617645,0.736764729
65,0.761764705,0.829411745,0.748529434,0.723529398,0.774999976,0.741176486
66,0.758823514,0.81764704,0.760294139,0.738235295,0.757352948,0.744117618
67,0.79411763,0.842647076,0.75,0.757352948,0.755882382,0.777941167
68,0.751470566,0.832352936,0.754411757,0.761764705,0.75,0.732352912
69,0.744117618,0.838235319,0.758823514,0.736764729,0.788235307,0.770588219
70,0.766176462,0.833823502,0.77352941,0.760294139,0.788235307,0.769117653
71,0.769117653,0.829411745,0.754411757,0.760294139,0.779411793,0.791176498
72,0.78382355,0.866176486,0.801470578,0.774999976,0.791176498,0.777941167
73,0.798529387,0.836764693,0.786764681,0.766176462,0.785294116,0.791176498
74,0.769117653,0.867647052,0.766176462,0.780882359,0.802941203,0.757352948
75,0.804411769,0.870588243,0.777941167,0.779411793,0.81764704,0.779411793
76,0.800000012,0.847058833,0.800000012,0.758823514,0.77352941,0.802941203
77,0.811764717,0.866176486,0.801470578,0.804411769,0.80735296,0.772058845
78,0.795588255,0.861764729,0.776470602,0.791176498,0.805882335,0.800000012
79,0.789705873,0.858823538,0.800000012,0.770588219,0.801470578,0.800000012
80,0.79411763,0.85147059,0.802941203,0.780882359,0.808823526,0.810294092
81,0.814705908,0.854411781,0.792647064,0.802941203,0.813235283,0.804411769
82,0.816176474,0.866176486,0.805882335,0.80735296,0.827941179,0.805882335
83,0.804411769,0.855882347,0.798529387,0.780882359,0.823529422,0.813235283
84,0.795588255,0.880882382,0.785294116,0.801470578,0.819117665,0.823529422
85,0.827941179,0.857352912,0.823529422,0.816176474,0.848529398,0.800000012
86,0.801470578,0.891176462,0.802941203,0.770588219,0.838235319,0.844117641
87,0.813235283,0.867647052,0.836764693,0.824999988,0.839705884,0.827941179
88,0.829411745,0.876470566,0.802941203,0.770588219,0.811764717,0.819117665
89,0.819117665,0.866176486,0.802941203,0.805882335,0.816176474,0.827941179
90,0.826470613,0.891176462,0.824999988,0.801470578,0.839705884,0.826470613
91,0.829411745,0.89852941,0.813235283,0.83088237,0.811764717,0.833823502
92,0.835294127,0.858823538,0.822058797,0.810294092,0.852941155,0.822058797
93,0.820588231,0.895588219,0.824999988,0.811764717,0.819117665,0.842647076
94,0.863235295,0.872058809,0.844117641,0.804411769,0.844117641,0.829411745
95,0.848529398,0.907352924,0.827941179,0.816176474,0.80735296,0.819117665
96,0.827941179,0.892647088,0.829411745,0.844117641,0.866176486,0.860294104
97,0.83088237,0.877941191,0.81764704,0.824999988,0.83088237,0.84117645
98,0.844117641,0.899999976,0.842647076,0.832352936,0.852941155,0.839705884
99,0.814705908,0.879411757,0.85147059,0.857352912,0.867647052,0.829411745
100,0.836764693,0.876470566,0.835294127,0.835294127,0.824999988,0.854411781
